Precision: 0.5714285714285714 , Recall 0.5714285714285714 , F1 0.5714285714285714 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7777777777777778 , Recall 0.7777777777777778 , F1 0.7777777777777778 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9523809523809523 , Recall 0.9523809523809523 , F1 0.9523809523809523 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8846153846153846 , Recall 0.8846153846153846 , F1 0.8846153846153846 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7142857142857143 , Recall 0.7142857142857143 , F1 0.7142857142857143 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7142857142857143 , Recall 0.7142857142857143 , F1 0.7142857142857143 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8181818181818182 , Recall 0.8181818181818182 , F1 0.8181818181818182 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 0.8666666666666667 , Recall 0.8666666666666667 , F1 0.8666666666666667 , Coverage 1 
Precision: 0.8181818181818182 , Recall 0.8181818181818182 , F1 0.8181818181818182 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.9375 , Recall 0.9375 , F1 0.9375 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6 , Recall 0.6 , F1 0.6 , Coverage 1 
Precision: 0.625 , Recall 0.625 , F1 0.625 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.3333333333333333 , Recall 0.3333333333333333 , F1 0.3333333333333333 , Coverage 1 
Precision: 0.9411764705882353 , Recall 0.9411764705882353 , F1 0.9411764705882353 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9523809523809523 , Recall 0.9523809523809523 , F1 0.9523809523809523 , Coverage 1 
Precision: 0.9285714285714286 , Recall 0.9285714285714286 , F1 0.9285714285714286 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9523809523809523 , Recall 0.9523809523809523 , F1 0.9523809523809523 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 0.6 , Recall 0.6 , F1 0.6 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 0.625 , Recall 0.625 , F1 0.625 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 0.36363636363636365 , Recall 0.36363636363636365 , F1 0.36363636363636365 , Coverage 1 
Precision: 0.9375 , Recall 0.9375 , F1 0.9375 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.967741935483871 , Recall 0.967741935483871 , F1 0.967741935483871 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 0.96 , Recall 0.96 , F1 0.96 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9285714285714286 , Recall 0.9285714285714286 , F1 0.9285714285714286 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 0.3333333333333333 , Recall 0.3333333333333333 , F1 0.3333333333333333 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 0.8918918918918919 , Recall 0.8918918918918919 , F1 0.8918918918918919 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.3333333333333333 , Recall 0.3333333333333333 , F1 0.3333333333333333 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 0.6 , Recall 0.6 , F1 0.6 , Coverage 1 
Precision: 0.7692307692307693 , Recall 0.7692307692307693 , F1 0.7692307692307693 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8947368421052632 , Recall 0.8947368421052632 , F1 0.8947368421052632 , Coverage 1 
Precision: 0.9411764705882353 , Recall 0.9411764705882353 , F1 0.9411764705882353 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7777777777777778 , Recall 0.7777777777777778 , F1 0.7777777777777778 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 0.8461538461538461 , Recall 0.8461538461538461 , F1 0.8461538461538461 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 0.9473684210526315 , Recall 0.9473684210526315 , F1 0.9473684210526315 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 0.7 , Recall 0.7 , F1 0.7 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9411764705882353 , Recall 0.9411764705882353 , F1 0.9411764705882353 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9411764705882353 , Recall 0.9411764705882353 , F1 0.9411764705882353 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 0.9565217391304348 , Recall 0.9565217391304348 , F1 0.9565217391304348 , Coverage 1 
Precision: 0.8421052631578947 , Recall 0.8421052631578947 , F1 0.8421052631578947 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.5454545454545454 , Recall 0.5454545454545454 , F1 0.5454545454545454 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7777777777777778 , Recall 0.7777777777777778 , F1 0.7777777777777778 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 0.9230769230769231 , Recall 0.9230769230769231 , F1 0.9230769230769231 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6 , Recall 0.6 , F1 0.6 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8666666666666667 , Recall 0.8666666666666667 , F1 0.8666666666666667 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.3333333333333333 , Recall 0.3333333333333333 , F1 0.3333333333333333 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.7333333333333333 , Recall 0.7333333333333333 , F1 0.7333333333333333 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9565217391304348 , Recall 0.9565217391304348 , F1 0.9565217391304348 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8181818181818182 , Recall 0.8181818181818182 , F1 0.8181818181818182 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 0.7142857142857143 , Recall 0.7142857142857143 , F1 0.7142857142857143 , Coverage 1 
Precision: 0.8461538461538461 , Recall 0.8461538461538461 , F1 0.8461538461538461 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9047619047619048 , Recall 0.9047619047619048 , F1 0.9047619047619048 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 0.7894736842105263 , Recall 0.7894736842105263 , F1 0.7894736842105263 , Coverage 1 
Precision: 0.9166666666666666 , Recall 0.9166666666666666 , F1 0.9166666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9411764705882353 , Recall 0.9411764705882353 , F1 0.9411764705882353 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8846153846153846 , Recall 0.8846153846153846 , F1 0.8846153846153846 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9655172413793104 , Recall 0.9655172413793104 , F1 0.9655172413793104 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 0.9473684210526315 , Recall 0.9473684210526315 , F1 0.9473684210526315 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 0.7142857142857143 , Recall 0.7142857142857143 , F1 0.7142857142857143 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8235294117647058 , Recall 0.8235294117647058 , F1 0.8235294117647058 , Coverage 1 
Precision: 0.8620689655172413 , Recall 0.8620689655172413 , F1 0.8620689655172413 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9166666666666666 , Recall 0.9166666666666666 , F1 0.9166666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7857142857142857 , Recall 0.7857142857142857 , F1 0.7857142857142857 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9130434782608695 , Recall 0.9130434782608695 , F1 0.9130434782608695 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9666666666666667 , Recall 0.9666666666666667 , F1 0.9666666666666667 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 0.9375 , Recall 0.9375 , F1 0.9375 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.8518518518518519 , Recall 0.8518518518518519 , F1 0.8518518518518519 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 0.8846153846153846 , Recall 0.8846153846153846 , F1 0.8846153846153846 , Coverage 1 
Precision: 0.9166666666666666 , Recall 0.9166666666666666 , F1 0.9166666666666666 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.8461538461538461 , Recall 0.8461538461538461 , F1 0.8461538461538461 , Coverage 1 
Precision: 0.9523809523809523 , Recall 0.9523809523809523 , F1 0.9523809523809523 , Coverage 1 
Precision: 0.9473684210526315 , Recall 0.9473684210526315 , F1 0.9473684210526315 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
